"","N","P","SLA"
"intercept",-25.5653404994352,-17.9367120573802,-15.5853283962813
"temp",2.74568336414008,1.35535003386373,1.8899943900132
"moisture",-1.77209268652366,-1.11696035325747,-1.1440992522191
"deficit",-6.53033540658576,-4.27824438653186,-4.62398212817968
"soilEntVert",-2.95362468448469,-2.13648677161458,-2.16270769951753
"soilMol",5.91075723676569,4.29302856719268,3.5977319699042
"soilOthers",-3.52540713528161,-2.57331026232017,-2.11068879623701
"soilSpodHist",-11.5373771820311,-7.29814856422756,-7.49769667395221
"soilUltKan",0.471106645043105,0.0614498468632471,0.455673968401437
"u1",-1.68867436719805,-1.43186482922912,-0.819515307970109
"u2",0.162666557135081,0.166415084065777,0.0814816260173131
"u3",0.25171634886902,0.2155026255072,0.242227279782945
"I(moisture^2)",-1.33504163142918,-1.01544761350536,-0.908706194813147
"moisture:deficit",-0.0992279302689296,-0.140119159842073,-0.00691726023183672
"moisture:soilEntVert",0.401029797478276,0.262971029727133,0.303545743490569
"moisture:soilMol",0.20544667814138,0.159375629991502,0.118184828521692
"moisture:soilOthers",0.451467942976923,0.357211700887801,0.333324785723059
"moisture:soilSpodHist",0.240695952715618,0.0589141131319536,0.173481426107136
"moisture:soilUltKan",-0.211872852428142,-0.145468413501087,-0.141143688508145
"temp:soilEntVert",-0.257408618674459,-0.0667730528247167,-0.0723681758261314
"temp:soilMol",0.0672607624376436,0.0344139838175307,0.0420165186432619
"temp:soilOthers",-0.21793465150613,-0.158994915552584,-0.181411851094456
"temp:soilSpodHist",-4.05462002392349,-2.47119654546824,-2.70237417208916
"temp:soilUltKan",0.140546235505684,0.0487497690353525,0.116326498880988
"deficit:soilEntVert",0.393394346503802,0.326429652518707,0.19946620453491
"deficit:soilMol",1.46265594300485,1.0512354783192,0.887956689773857
"deficit:soilOthers",2.47680057380321,1.68674304726303,1.72265049294685
"deficit:soilSpodHist",3.79345700126052,2.42506403848463,2.39958296005178
"deficit:soilUltKan",0.494710362731395,0.316786397650644,0.32109002340187
