"acerBarb","acerNegu","acerRubr","acerSacc","betuNigr","carpCaro","caryAqua","caryGlab","caryOvat","caryTome","cercCana","faguGran","fraxAmer","fraxPenn","juniVirg","liquStyr","liriTuli","magnGran","nyssSylv","ostrVirg","oxydArbo","persBorb","pinuEchi","pinuElli","pinuPalu","pinuStro","pinuTaed","pinuVirg","platOcci","prunSero","querAlba","querCocc","querFalc","querLaur","querMacr","querMari","querMich","querNigr","querPhel","querPrin","querRubr","querStel","querVelu","querVirg","sassAlbi","tiliAmer","tsugCana","ulmuAlat","ulmuAmer","other","abieBals","betuAlle","betuLent","betuPapy","betuPopu","magnAcum","piceGlau","piceMari","piceRube","pinuBank","pinuResi","pinuRigi","popuGran","popuTrem","magnFras"
"SM",-0.244889386216001,-0.147936726580979,-0.365093555163055,0.0358119936601014,-1.32969307104817,-0.293116261351935,1.42686833394721,1.35906463172022,1.43618726537254,1.51322284924695,-0.221039274236357,0.482885339648576,-0.105259849985963,-0.226313454072722,-0.601918345183594,-0.816615212381766,-0.218952498446679,0.0548036778839823,0.262004570267234,-0.476249846108148,-2.22032824783217,0.373612287206152,-0.436307511811451,-0.23059304444705,0.183667215777845,-0.442307905570123,-0.735340412696886,-0.690338568997064,-0.968940171281312,0.140012528621725,1.36289436853771,1.15845988721862,0.869986369716889,1.22909127982695,1.54351038057226,1.22909127982695,1.50144013849928,0.98102521399299,0.930402094640107,1.13495883090277,1.37135539569001,0.869986369716889,1.144192647234,1.02268475049759,0.127968544138558,0.143933403461109,-1.09609331246374,-0.923938327581491,-0.848736002334259,0,-0.707625086957438,-1.39113784475034,-1.46634016999758,-1.75471095522805,-2.13501865579836,0.121591921380506,-1.09609331246374,-1.3529445803602,-1.20061962146066,-0.968940171281312,-0.662069400547492,-0.280397272148851,-1.79689258821702,-1.79689258821702,0.160865357250679
"WD",1.12774670657784,0.105872104233293,-0.475810361716679,0.546064240627867,0.844766047467042,0.868347769059608,1.75659261571294,1.75659261571294,1.75659261571294,1.75659261571294,0.341689320158958,0.380992189479902,0.247362433788692,0.0272663655914051,-0.900281350382875,-0.6015795435437,-1.41121865155515,-0.444368066259923,-0.428646918531546,1.22207359294811,-0.106363390099805,-1.2304254526788,-0.177108554877504,-0.750930446963287,0.247362433788692,-1.83568964022134,-0.106363390099805,-1.2304254526788,-0.530834378766,-0.570137248086944,0.813323752010286,0.805463178146097,1.04914096793595,0.53034309289949,0.506761371306923,1.12774670657784,0.994116950886629,1.04914096793595,1.04914096793595,1.17491014976297,0.39671333720828,1.03341982020757,0.491040223578546,2.9120969737487,-1.04963225380246,-1.62345414588825,-1.37977635609839,-0.20855085033426,-0.412925770803168,0,-1.5134061117896,0.420295058800846,0.483179649714357,-0.0513393730504831,-0.66446413445721,-0.711627577642343,-1.37977635609839,-1.40335807769096,-1.52126668565379,-1.14395914017273,-0.782372742420043,-0.507252657173434,-1.54484840724636,-1.61559357202406,-0.287156588976148
"MH",-0.793047173146228,-0.753684096938735,-0.438779487278795,0.847081002165962,-0.766805122341233,-2.10514971339598,0.650265621128499,0.519055367103524,0.781475875153474,0.781475875153474,-2.10514971339598,0.125424605028598,0.440329214688539,0.0466984526136132,-1.16043588441616,0.847081002165962,1.64746355171831,0.781475875153474,0.650265621128499,-1.35725126545362,-1.58030869729608,-1.84272920534603,1.34567996746087,0.847081002165962,1.64746355171831,2.84147686334558,2.61841943150313,1.34567996746087,0.519055367103524,0.0466984526136132,0.847081002165962,0.295997935261066,0.295997935261066,0.295997935261066,0.847081002165962,0.295997935261066,0.0466984526136132,0.295997935261066,0.847081002165962,0.295997935261066,0.0860615288211058,0.295997935261066,0.295997935261066,-1.16043588441616,-0.15011692842385,0.847081002165962,1.04389638320342,0.243513833651076,0.243513833651076,0,-0.753684096938735,-0.136995903021352,-0.399416411071302,-0.360053334863809,-2.14451278960347,0.781475875153474,0.847081002165962,-0.556868715901272,0.151666655833593,0.0466984526136132,0.0466984526136132,1.34567996746087,-0.556868715901272,-0.556868715901272,0.781475875153474
"leaf N",0.539532828771064,1.75374331236169,-0.518005334356259,0.40244454836567,0.813709389581851,0.34369242819193,0.363276468249843,-0.224244733487558,0.754957269408112,0.187020107728623,0.637453029060631,0.461196668539411,0.34369242819193,-0.420085134066692,-0.478837254240432,-0.400501094008779,0.617868989002718,-1.06635845597783,-0.243828773545471,0.363276468249843,0.265356267960277,-0.478837254240432,-1.14469461620949,-1.69304773783106,-2.08472853898933,-0.890102095456614,-1.61471157759941,-1.37970309690445,1.81249543253543,0.950797669987246,0.324108388134017,-1.18386269632531,-0.420085134066692,-1.10552653609366,0.696205149234372,-0.988022295746181,-0.576757454529999,-1.1642786562674,-0.420085134066692,0.363276468249843,0.108683947496969,-0.302580893719212,-0.420085134066692,-0.890102095456614,0.0303477872653158,1.47956675155091,-1.34053501678862,0.657037069118545,0.089099907439056,0,-1.36011905684654,0.304524348076104,0.872461509755592,0.265356267960277,0.34369242819193,-0.126324533197991,-1.36011905684654,-1.36011905684654,-1.67346369777315,-0.948854215630354,-1.37970309690445,-1.36011905684654,0.833293429639765,0.911629589871419,0.794125349523938
"leaf P",0.310081433249128,0.393837348470016,-0.410219437650509,0.527846812823437,0.393837348470016,-0.276209973297088,0.00856013845393135,-0.896003745931659,0.661856277176858,-0.896003745931659,-0.359965888517976,-0.343214705473798,1.63342489373916,0.494344446735082,-0.393468254606331,-0.560980085048107,-0.896003745931659,-0.560980085048107,-0.644736000268995,0.561349178911792,-0.594482451136462,0,-1.23102740681521,-1.12717007194131,-1.12717007194131,-0.896003745931659,-1.01661226384974,-1.12717007194131,0,2.99027072031754,-0.276209973297088,-1.56605106769876,-0.493975352871397,-0.493975352871397,0.661856277176858,-0.493975352871397,-0.493975352871397,-0.493975352871397,-0.493975352871397,-0.594482451136462,-0.661487183313173,-0.493975352871397,-0.493975352871397,-0.493975352871397,0,2.16946275115284,-0.983109897761383,1.31515241589978,0.695358643265213,0,-0.983109897761383,0.896372839795344,0.393837348470016,0.025311321498109,0.276579067160773,-0.560980085048107,-0.644736000268995,-0.979759661152547,-1.05681510315576,-1.12717007194131,-1.12717007194131,-1.39853923725699,0.779114558486101,0.393837348470016,-0.560980085048107
"SLA",0.92279163224492,1.35861891447646,0.0947197960049887,0.58865738253407,-0.195831725482706,1.73633589241047,0.152830100302528,0.152830100302528,-0.0796111168876283,0.152830100302528,0.762988295426687,2.28838378323709,-0.0215008125900893,-0.428272942672862,-1.61953418077241,0.210940404600067,0.385271317492684,-1.12559659424333,0.908264056170535,3.72661381460118,1.59106013166662,-0.747879616309327,-1.11252177577638,-1.11252177577638,-1.48588048088807,-0.991942894358991,-1.11252177577638,-1.11252177577638,0.327161013195145,-0.26846960585463,0.298105861046375,-0.341107486226554,-0.195831725482706,-0.195831725482706,-0.500910823044786,-0.195831725482706,-0.195831725482706,-0.195831725482706,-0.195831725482706,0.908264056170535,0.167357676376913,-0.195831725482706,-0.195831725482706,-1.14157692792515,-0.747879616309327,0.646767686831609,-0.975962560677168,-0.253942029780245,-0.428272942672862,0,-1.49604978414014,1.18428800158385,0.748460719352303,1.25692588195577,0.748460719352303,0.269050708897606,-1.36530159947068,-0.625847977284495,-1.05295871387141,-0.864100224904405,-1.56142387647487,-1.34496299296654,0.0947197960049887,0.399798893567069,1.67822558811293
"decid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1
"BLevergr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLevergr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
